k,w,best_gc,average_density_factor,ragnars bound,1/sigma^k
2,2,11,2.125,10,4
2,3,16,2.16667,14,8
2,4,25,2.21354,23,16
2,5,42,2.28125,38,32
2,6,75,2.38802,66,64
2,7,140,2.52604,116,128
2,8,269,2.68945,207,256
2,9,526,2.87109,374,512
2,10,1039,3.066,687,1024
2,11,2064,3.27051,1262,2048
2,12,4113,3.48222,2343,4096
3,2,20,2.0625,20,4
3,3,29,2.08333,28,8
3,4,46,2.09505,43,16
3,5,76,2.09375,70,32
3,6,130,2.1013,118.25,64
3,7,229,2.11838,207,128
3,8,413,2.14844,374,256
3,9,750,2.18719,687,512
3,10,1392,2.23482,1262,1024
3,11,2621,2.28963,2343,2048
3,12,4999,2.35092,4374,4096
3,13,9623,2.41776,8196,8192
3,14,18667,2.48968,15422,16384
3,15,36423,2.56618,29134,32768
3,16,71408,2.64686,55190,65536
3,17,140524,2.73134,104865,131072
3,18,277385,2.8193,199738,262144
3,19,548888,2.91042,381303,524288
3,20,1088315,3.00441,729446,1048576
3,21,2161378,3.10103,1398122,2097152
3,22,4298146,3.20001,2684360,4194304
3,23,8556541,3.30115,5162223,8388608
3,24,17048845,3.40424,9942076,16777216
4,2,38,2.03125,37,4
4,3,56,2.04167,56,8
4,4,87,2.04753,86,16
4,5,145,2.04102,140,32
4,6,250,2.03896,236.5,64
4,7,435,2.03709,409.75,128
4,8,778,2.04004,722.875,256
4,9,1410,2.0454,1293.5,512
4,10,2590,2.05462,2343,1024
4,11,4801,2.06605,4374,2048
4,12,8973,2.07969,8196,4096
4,13,16825,2.09513,15422,8192
4,14,31673,2.11228,29134,16384
4,15,59973,2.1309,55190,32768
4,16,114152,2.15097,104865,65536
4,17,218262,2.17239,199738,131072
4,18,419007,2.19515,381303,262144
4,19,807271,2.21919,729446,524288
4,20,1560309,2.2445,1398122,1048576
4,21,3024487,2.27104,2684360,2097152
4,22,5877861,2.29879,5162223,4194304
4,23,11449988,2.32772,9942076,8388608
4,24,22351891,2.35781,19173975,16777216
4,25,43718291,2.38904,37025582,33554432
4,26,85659896,2.42137,71582835,67108864
4,27,167943009,2.45479,139000000,134217728
4,28,329669723,2.48926,268000000,268435456
4,29,648153033,2.52476,521000000,536870912
4,30,1276143868,2.56126,1010000000,1073741824
4,31,2515895087,2.59874,1960000000,2147483648
4,32,4966015078,2.63717,3820000000,4294967296
4,33,9813007834,2.67652,7430000000,8589934592
4,34,19410403927,2.71677,14500000000,17179869184
4,35,38429828599,2.75788,28200000000,34359738368
4,36,76150018348,2.79983,55000000000,68719476736
4,37,151010917682,2.84259,1.07E+11,1.37439E+11
4,38,299678186213,2.88614,2.09E+11,2.74878E+11
4,39,595092430295,2.93045,4.09E+11,5.49756E+11
4,40,1182421912224,2.9755,8E+11,1.09951E+12
4,41,2350701581799,3.02125,1.56E+12,2.19902E+12
4,42,4675624078141,3.06768,3.06E+12,4.39805E+12
4,43,9304230893175,3.11477,5.99E+12,8.79609E+12
4,44,18522664773897,3.1625,1.17E+13,1.75922E+13
4,45,36888691381157,3.21084,2.3E+13,3.51844E+13
4,46,73491281140616,3.25976,4.5E+13,7.03687E+13
4,47,146459771371723,3.30925,8.83E+13,1.40737E+14
4,48,291963869844583,3.35928,1.73E+14,2.81475E+14
5,2,74,2.015625,74,4
5,3,105,2.020833333,102.75,8
5,4,172,2.023763021,172,16
5,5,282,2.020507813,280,32
5,6,483,2.020100911,473,64
5,7,846,2.016694568,819.5,128
5,8,1514,2.015293666,1445.75,256
5,9,2741,2.014099121,2587,512
5,10,5014,2.01463548,4681.188,1024
5,11,9237,2.015886209,8548.188,2048
5,12,17065,2.018162943,15728.66,4096
5,13,31738,2.021034477,29134,8192
5,14,59410,2.024590328,55190,16384
5,15,111814,2.028601889,104865,32768
5,16,211441,2.033114485,199738,65536
5,17,401533,2.038029125,381303,131072
5,18,765337,2.043363277,729446,262144
5,19,1463492,2.049070605,1398122,524288
5,20,2806703,2.055154413,2684360,1048576
5,21,5396707,2.061943,5162223,2097152
5,22,10400795,2.069382,9942076,4194304
5,23,20086599,2.076684,19173975,8388608
5,24,38865141,2.083422,37025582,16777216
5,25,75327193,2.091074,71582835,33554432
5,26,146222906,2.099224,139000000,67108864
5,27,284246024,2.107323,268000000,134217728
5,28,553273022,2.116547,521000000,268435456
5,29,1078220803,2.126643,1010000000,536870912
5,30,2103591407,2.135588,1960000000,1073741824
5,31,4108349533,2.144228,3820000000,2147483648
5,32,8030872294,2.154451,7430000000,4294967296
5,33,15705850473,2.164717,14500000000,8589934592
5,34,30745099031,2.175478,28200000000,17179869184
5,35,60239262189,2.18721,55000000000,34359738368
5,36,118126904857,2.199143,1.07E+11,68719476736
5,37,231775999810,2.210234,2.09E+11,1.37439E+11
5,38,454929478166,2.221397,4.09E+11,2.74878E+11
5,39,893583478501,2.233721,8E+11,5.49756E+11
5,40,1756411265179,2.247029,1.56E+12,1.09951E+12
5,41,3454642143935,2.258449,3.06E+12,2.19902E+12
5,42,6799115934698,2.270596,5.99E+12,4.39805E+12
5,43,13389427982471,2.287179,1.17E+13,8.79609E+12
5,44,26378010085950,2.300111,2.3E+13,1.75922E+13
5,45,51978195529115,2.312229,4.5E+13,3.51844E+13
5,46,102481172644002,2.327842,8.83E+13,7.03687E+13
5,47,202162418975171,2.342503,1.73E+14,1.40737E+14
5,48,399007015230697,2.357324,3.4E+14,2.81475E+14
5,49,787863901953400,2.374366,6.67E+14,5.6295E+14
5,50,1556270298895740,2.387543,1.31E+15,1.13E+15
5,51,3075573667315170,2.403358,2.57E+15,2.25E+15
5,52,6080870936249120,2.419744,5.06E+15,4.5E+15
5,53,12028063047189800,2.435992,9.94E+15,9.01E+15
5,54,23801700581938500,2.450937,1.95E+16,1.80E+16
5,55,47118902948879000,2.470492,3.84E+16,3.60E+16
5,56,93314710745076600,2.485285,7.56E+16,7.21E+16
5,57,184869815364257000,2.502182,1.49E+17,1.44E+17
5,58,366383923391099000,2.519478,2.93E+17,2.88E+17
5,59,726365390932283000,2.538542,5.76E+17,5.76E+17
5,60,1440510132647800000,2.556133,1.14E+18,1.15E+18
5,61,2857684671801650000,2.573092,2.24E+18,2.31E+18
5,62,5670792177731020000,2.593936,4.41E+18,4.61E+18
5,63,11256398473800400000,2.612055,8.68E+18,9.22E+18
5,64,22349950882902500000,2.628917,1.71E+19,1.84E+19
5,65,44388490266650100000,2.648538,3.37E+19,3.69E+19
5,66,88181272662375300000,2.669513,6.65E+19,7.38E+19
5,67,175163519069478000000,2.686844,1.31E+20,1.48E+20
5,68,348014422423491000000,2.707526,2.59E+20,2.95E+20
5,69,691613868463597000000,2.72712,5.11E+20,5.90E+20
5,70,1374796899246386138780,2.747976,1.01E+21,1.18E+21
5,71,2733490070431818570762,2.76749,1.99E+21,2.36E+21
5,72,5436212683979182380729,2.790536,3.93E+21,4.72E+21
5,73,10813627370113933888541,2.809298,7.75E+21,9.44E+21
5,74,21514858698513850111939,2.831816,1.53E+22,1.89E+22
5,75,42814818018005992732539,2.851389,3.02E+22,3.78E+22
5,76,85218678769444301032579,2.874061,5.97E+22,7.56E+22
5,77,169651305156134273172312,2.893652,1.18E+23,1.51E+23
5,78,337798787816329427716372,2.917674,2.33E+23,3.02E+23
5,79,672719985035804751827293,2.938134,4.61E+23,6.04E+23
5,80,1339932578268018439952920,2.961761,9.10E+23,1.21E+24
5,81,2669322627649636882355303,2.982637,1.80E+24,2.42E+24
5,82,5318460526819579736516384,3.005018,3.56E+24,4.84E+24
5,83,10598268530918669943534495,3.028338,7.03E+24,9.67E+24
5,84,21122507150363484120955858,3.049985,1.39E+25,1.93E+25
5,85,42103203667291667799609622,3.074469,2.75E+25,3.87E+25
5,86,83934713138407629863752276,3.097003,5.44E+25,7.74E+25
5,87,167348807503889424228915492,3.120993,1.08E+26,1.55E+26
5,88,333699857126421322091615318,3.143158,2.13E+26,3.09E+26
5,89,665487245064486532918593610,3.168121,4.21E+26,6.19E+26
5,90,1327308208741972859118347411,3.190936,8.34E+26,1.24E+27
5,91,2647587031250380319124151834,3.215278,1.65E+27,2.48E+27
5,92,5281694756003285568483054330,3.239202,3.27E+27,4.95E+27
5,93,10537538678746639227624991451,3.264208,6.47E+27,9.90E+27
5,94,21025493902443086112606208848,3.287642,1.28E+28,1.98E+28
5,95,41955871995281951596837688726,3.312465,2.54E+28,3.96E+28
5,96,83729261662898869992661571930,3.33626,5.02E+28,7.92E+28
